Unnamed: 0,code,parent,rank,chapter,description,is_canadian,accuracy,f1_score,recall,precision,binary_cross_entropy
0,80001,NEOPLASM,1,NEOPLASM,"Neoplasm, uncertain whether benign or malignant",TRUE,0.999981754,0,0,0,0.018482864
1,NEOPLASM,,0,NEOPLASM,﻿Morphology of Neoplasms,TRUE,0.998923515,0,0,0,0.018482864
2,80003,NEOPLASM,1,NEOPLASM,"Neoplasm, malignant",TRUE,0.999945263,0,0,0,0.018482864
3,80006,NEOPLASM,1,NEOPLASM,"Neoplasm, metastatic",TRUE,0.999981754,0,0,0,0.018482864
4,80103,NEOPLASM,1,NEOPLASM,Carcinoma NOS,TRUE,0.999981754,0,0,0,0.018482864
5,80106,NEOPLASM,1,NEOPLASM,"Carcinoma, metastatic NOS",TRUE,1,0,0,0,0.018482864
6,80413,NEOPLASM,1,NEOPLASM,Small cell carcinoma NOS,TRUE,0.999927018,0,0,0,0.018482864
7,80503,NEOPLASM,1,NEOPLASM,Papillary carcinoma NOS,TRUE,0.999963509,0,0,0,0.018482864
8,80703,NEOPLASM,1,NEOPLASM,Squamous cell carcinoma NOS,TRUE,0.999872281,0,0,0,0.018482864
9,80713,NEOPLASM,1,NEOPLASM,"Squamous cell carcinoma, keratinizing NOS",TRUE,0.999981754,0,0,0,0.018482864
10,80723,NEOPLASM,1,NEOPLASM,"Squamous cell carcinoma, large cell, nonkeratinizing",TRUE,0.999981754,0,0,0,0.018482864
11,80903,NEOPLASM,1,NEOPLASM,Basal cell carcinoma NOS,TRUE,0.999981754,0,0,0,0.018482864
12,81203,NEOPLASM,1,NEOPLASM,Transitional cell carcinoma NOS,TRUE,0.999945263,0,0,0,0.018482864
13,81403,NEOPLASM,1,NEOPLASM,Adenocarcinoma NOS,TRUE,0.999817545,0,0,0,0.018482864
14,81406,NEOPLASM,1,NEOPLASM,"Adenocarcinoma, metastatic NOS",TRUE,1,0,0,0,0.018482864
15,81523,NEOPLASM,1,NEOPLASM,"Glucagonoma, malignant",TRUE,1,0,0,0,0.018482864
16,82110,NEOPLASM,1,NEOPLASM,Tubular adenoma NOS,TRUE,1,0,0,0,0.018482864
17,82403,NEOPLASM,1,NEOPLASM,Carcinoid tumour NOS,TRUE,0.999963509,0,0,0,0.018482864
