Unnamed: 0,code,parent,rank,chapter,description,is_canadian,accuracy,f1_score,recall,precision,binary_cross_entropy
0,80001,NEOPLASM,1,NEOPLASM,"Neoplasm, uncertain whether benign or malignant",True,0.9999817544883959,0.0,0.0,0.0,0.014376364833131577
1,NEOPLASM,,0,NEOPLASM,﻿Morphology of Neoplasms,True,0.9989235148153555,0.0,0.0,0.0,0.014376364833131577
2,80003,NEOPLASM,1,NEOPLASM,"Neoplasm, malignant",True,0.9999452634651875,0.0,0.0,0.0,0.014376364833131577
3,80006,NEOPLASM,1,NEOPLASM,"Neoplasm, metastatic",True,0.9999817544883959,0.0,0.0,0.0,0.014376364833131577
4,80103,NEOPLASM,1,NEOPLASM,Carcinoma NOS,True,0.9999817544883959,0.0,0.0,0.0,0.014376364833131577
5,80106,NEOPLASM,1,NEOPLASM,"Carcinoma, metastatic NOS",True,1.0,0.0,0.0,0.0,0.014376364833131577
6,80413,NEOPLASM,1,NEOPLASM,Small cell carcinoma NOS,True,0.9999270179535834,0.0,0.0,0.0,0.014376364833131577
7,80503,NEOPLASM,1,NEOPLASM,Papillary carcinoma NOS,True,0.9999635089767918,0.0,0.0,0.0,0.014376364833131577
8,80703,NEOPLASM,1,NEOPLASM,Squamous cell carcinoma NOS,True,0.9998722814187709,0.0,0.0,0.0,0.014376364833131577
9,80713,NEOPLASM,1,NEOPLASM,"Squamous cell carcinoma, keratinizing NOS",True,0.9999817544883959,0.0,0.0,0.0,0.014376364833131577
10,80723,NEOPLASM,1,NEOPLASM,"Squamous cell carcinoma, large cell, nonkeratinizing",True,0.9999817544883959,0.0,0.0,0.0,0.014376364833131577
11,80903,NEOPLASM,1,NEOPLASM,Basal cell carcinoma NOS,True,0.9999817544883959,0.0,0.0,0.0,0.014376364833131577
12,81203,NEOPLASM,1,NEOPLASM,Transitional cell carcinoma NOS,True,0.9999452634651875,0.0,0.0,0.0,0.014376364833131577
13,81403,NEOPLASM,1,NEOPLASM,Adenocarcinoma NOS,True,0.9998175448839586,0.0,0.0,0.0,0.014376364833131577
