Unnamed: 0,code,parent,rank,chapter,description,is_canadian,accuracy,f1_score,recall,precision,binary_cross_entropy
0,80001,NEOPLASM,1,NEOPLASM,"Neoplasm, uncertain whether benign or malignant",True,0.9999817544883959,0.0,0.0,0.0,0.016847409159957104
1,NEOPLASM,,0,NEOPLASM,﻿Morphology of Neoplasms,True,0.9989417603269596,0.03333333333333333,0.01694915254237288,1.0,0.016847409159957104
2,80003,NEOPLASM,1,NEOPLASM,"Neoplasm, malignant",True,0.9999452634651875,0.0,0.0,0.0,0.016847409159957104
3,80006,NEOPLASM,1,NEOPLASM,"Neoplasm, metastatic",True,0.9999817544883959,0.0,0.0,0.0,0.016847409159957104
4,80103,NEOPLASM,1,NEOPLASM,Carcinoma NOS,True,0.9999817544883959,0.0,0.0,0.0,0.016847409159957104
5,80106,NEOPLASM,1,NEOPLASM,"Carcinoma, metastatic NOS",True,1.0,0.0,0.0,0.0,0.016847409159957104
6,80413,NEOPLASM,1,NEOPLASM,Small cell carcinoma NOS,True,0.9999270179535834,0.0,0.0,0.0,0.016847409159957104
7,80503,NEOPLASM,1,NEOPLASM,Papillary carcinoma NOS,True,0.9999635089767918,0.0,0.0,0.0,0.016847409159957104
8,80703,NEOPLASM,1,NEOPLASM,Squamous cell carcinoma NOS,True,0.9998722814187709,0.0,0.0,0.0,0.016847409159957104
9,80713,NEOPLASM,1,NEOPLASM,"Squamous cell carcinoma, keratinizing NOS",True,0.9999817544883959,0.0,0.0,0.0,0.016847409159957104
10,80723,NEOPLASM,1,NEOPLASM,"Squamous cell carcinoma, large cell, nonkeratinizing",True,0.9999817544883959,0.0,0.0,0.0,0.016847409159957104
11,80903,NEOPLASM,1,NEOPLASM,Basal cell carcinoma NOS,True,0.9999817544883959,0.0,0.0,0.0,0.016847409159957104
12,81203,NEOPLASM,1,NEOPLASM,Transitional cell carcinoma NOS,True,0.9999452634651875,0.0,0.0,0.0,0.016847409159957104
13,81403,NEOPLASM,1,NEOPLASM,Adenocarcinoma NOS,True,0.9998175448839586,0.0,0.0,0.0,0.016847409159957104
14,81406,NEOPLASM,1,NEOPLASM,"Adenocarcinoma, metastatic NOS",True,1.0,0.0,0.0,0.0,0.016847409159957104
15,81523,NEOPLASM,1,NEOPLASM,"Glucagonoma, malignant",True,1.0,0.0,0.0,0.0,0.016847409159957104
16,82110,NEOPLASM,1,NEOPLASM,Tubular adenoma NOS,True,1.0,0.0,0.0,0.0,0.016847409159957104
17,82403,NEOPLASM,1,NEOPLASM,Carcinoid tumour NOS,True,0.9999635089767918,0.0,0.0,0.0,0.016847409159957104
18,82463,NEOPLASM,1,NEOPLASM,Neuroendocrine carcinoma,True,0.9998540359071668,0.2,0.125,0.5,0.016847409159957104
19,82630,NEOPLASM,1,NEOPLASM,Tubulovillous adenoma NOS,True,1.0,0.0,0.0,0.0,0.016847409159957104
20,83123,NEOPLASM,1,NEOPLASM,Renal cell carcinoma,True,0.9999817544883959,0.0,0.0,0.0,0.016847409159957104
21,83803,NEOPLASM,1,NEOPLASM,Endometrioid carcinoma,True,0.9999635089767918,0.0,0.0,0.0,0.016847409159957104
22,84813,NEOPLASM,1,NEOPLASM,Mucin-producing adenocarcinoma,True,1.0,0.0,0.0,0.0,0.016847409159957104
23,84903,NEOPLASM,1,NEOPLASM,Signet ring cell carcinoma,True,1.0,0.0,0.0,0.0,0.016847409159957104
24,85003,NEOPLASM,1,NEOPLASM,Infiltrating duct carcinoma,True,0.9999817544883959,0.0,0.0,0.0,0.016847409159957104
25,85623,NEOPLASM,1,NEOPLASM,Epithelial-myoepithelial carcinoma,True,1.0,0.0,0.0,0.0,0.016847409159957104
26,87203,NEOPLASM,1,NEOPLASM,Malignant melanoma NOS,True,0.9999635089767918,0.0,0.0,0.0,0.016847409159957104
