Unnamed: 0,code,parent,rank,chapter,description,is_canadian,accuracy,f1_score,recall,precision,binary_cross_entropy
0,80001,NEOPLASM,1,NEOPLASM,"Neoplasm, uncertain whether benign or malignant",True,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
1,NEOPLASM,,0,NEOPLASM,﻿Morphology of Neoplasms,True,0.998868778280543,0.0,0.0,0.0,0.03566274207640233
2,80003,NEOPLASM,1,NEOPLASM,"Neoplasm, malignant",True,0.9999452634651875,0.0,0.0,0.0,0.03566274207640233
3,80006,NEOPLASM,1,NEOPLASM,"Neoplasm, metastatic",True,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
4,80103,NEOPLASM,1,NEOPLASM,Carcinoma NOS,True,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
5,80106,NEOPLASM,1,NEOPLASM,"Carcinoma, metastatic NOS",True,1.0,0.0,0.0,0.0,0.03566274207640233
6,80413,NEOPLASM,1,NEOPLASM,Small cell carcinoma NOS,True,0.9999270179535834,0.0,0.0,0.0,0.03566274207640233
7,80503,NEOPLASM,1,NEOPLASM,Papillary carcinoma NOS,True,0.9999635089767918,0.0,0.0,0.0,0.03566274207640233
8,80703,NEOPLASM,1,NEOPLASM,Squamous cell carcinoma NOS,True,0.9998722814187709,0.0,0.0,0.0,0.03566274207640233
9,80713,NEOPLASM,1,NEOPLASM,"Squamous cell carcinoma, keratinizing NOS",True,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
10,80723,NEOPLASM,1,NEOPLASM,"Squamous cell carcinoma, large cell, nonkeratinizing",True,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
11,80903,NEOPLASM,1,NEOPLASM,Basal cell carcinoma NOS,True,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
12,81203,NEOPLASM,1,NEOPLASM,Transitional cell carcinoma NOS,True,0.9999452634651875,0.0,0.0,0.0,0.03566274207640233
13,81403,NEOPLASM,1,NEOPLASM,Adenocarcinoma NOS,True,0.9998175448839586,0.0,0.0,0.0,0.03566274207640233
14,81406,NEOPLASM,1,NEOPLASM,"Adenocarcinoma, metastatic NOS",True,1.0,0.0,0.0,0.0,0.03566274207640233
15,81523,NEOPLASM,1,NEOPLASM,"Glucagonoma, malignant",True,1.0,0.0,0.0,0.0,0.03566274207640233
16,82110,NEOPLASM,1,NEOPLASM,Tubular adenoma NOS,True,1.0,0.0,0.0,0.0,0.03566274207640233
17,82403,NEOPLASM,1,NEOPLASM,Carcinoid tumour NOS,True,0.9999635089767918,0.0,0.0,0.0,0.03566274207640233
18,82463,NEOPLASM,1,NEOPLASM,Neuroendocrine carcinoma,True,0.9998540359071668,0.0,0.0,0.0,0.03566274207640233
19,82630,NEOPLASM,1,NEOPLASM,Tubulovillous adenoma NOS,True,1.0,0.0,0.0,0.0,0.03566274207640233
20,83123,NEOPLASM,1,NEOPLASM,Renal cell carcinoma,True,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
21,83803,NEOPLASM,1,NEOPLASM,Endometrioid carcinoma,True,0.9999635089767918,0.0,0.0,0.0,0.03566274207640233
22,84813,NEOPLASM,1,NEOPLASM,Mucin-producing adenocarcinoma,True,1.0,0.0,0.0,0.0,0.03566274207640233
23,84903,NEOPLASM,1,NEOPLASM,Signet ring cell carcinoma,True,1.0,0.0,0.0,0.0,0.03566274207640233
24,85003,NEOPLASM,1,NEOPLASM,Infiltrating duct carcinoma,True,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
25,85623,NEOPLASM,1,NEOPLASM,Epithelial-myoepithelial carcinoma,True,1.0,0.0,0.0,0.0,0.03566274207640233
26,87203,NEOPLASM,1,NEOPLASM,Malignant melanoma NOS,True,0.9999635089767918,0.0,0.0,0.0,0.03566274207640233
27,88003,NEOPLASM,1,NEOPLASM,Sarcoma NOS,True,1.0,0.0,0.0,0.0,0.03566274207640233
28,88900,NEOPLASM,1,NEOPLASM,Leiomyoma NOS,True,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
29,91730,NEOPLASM,1,NEOPLASM,Cystic lymphangioma,True,1.0,0.0,0.0,0.0,0.03566274207640233
30,96803,NEOPLASM,1,NEOPLASM,"Malignant lymphoma, large cell, diffuse NOS",True,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
31,97323,NEOPLASM,1,NEOPLASM,Multiple myeloma,True,0.9999635089767918,0.0,0.0,0.0,0.03566274207640233
32,98233,NEOPLASM,1,NEOPLASM,Chronic lymphocytic leukaemia,True,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
33,98613,NEOPLASM,1,NEOPLASM,Acute myeloid leukaemia,True,0.9999635089767918,0.0,0.0,0.0,0.03566274207640233
34,98633,NEOPLASM,1,NEOPLASM,Chronic myeloid leukaemia,True,0.9999635089767918,0.0,0.0,0.0,0.03566274207640233
35,99403,NEOPLASM,1,NEOPLASM,Hairy cell leukaemia,True,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
36,99601,NEOPLASM,1,NEOPLASM,Chronic myeloproliferative disease,True,1.0,0.0,0.0,0.0,0.03566274207640233
37,A014,A01,3,I,"Paratyphoid fever, unspecified",False,1.0,0.0,0.0,0.0,0.03566274207640233
38,A01,A00-A09,2,I,Typhoid and paratyphoid fevers,False,1.0,0.0,0.0,0.0,0.03566274207640233
39,A00-A09,I,1,I,Intestinal infectious diseases,False,0.9748759305210918,0.05490734385724091,0.028228652081863093,1.0,0.03566274207640233
40,I,,0,I,Certain infectious and parasitic diseases,False,0.9001423149905123,0.03046944198405669,0.01564774381368268,0.5771812080536913,0.03566274207640233
41,A020,A02,3,I,Salmonella enteritis,False,0.9997263173259379,0.0,0.0,0.0,0.03566274207640233
42,A02,A00-A09,2,I,Other salmonella infections,False,0.9995256166982922,0.0,0.0,0.0,0.03566274207640233
43,A021,A02,3,I,Salmonella sepsis,False,0.9998905269303752,0.0,0.0,0.0,0.03566274207640233
44,A022,A02,3,I,Localized salmonella infections,False,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
45,A028,A02,3,I,Other specified salmonella infections,False,0.9999635089767918,0.0,0.0,0.0,0.03566274207640233
46,A029,A02,3,I,"Salmonella infection, unspecified",False,0.9999270179535834,0.0,0.0,0.0,0.03566274207640233
47,A038,A03,3,I,Other shigellosis,False,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
48,A03,A00-A09,2,I,Shigellosis,False,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
49,A044,A04,3,I,Other intestinal Escherichia coli infections,False,0.9998722814187709,0.0,0.0,0.0,0.03566274207640233
50,A04,A00-A09,2,I,Other bacterial intestinal infections,False,0.9912239089184061,0.0,0.0,0.0,0.03566274207640233
51,A045,A04,3,I,Campylobacter enteritis,False,0.999744562837542,0.0,0.0,0.0,0.03566274207640233
52,A046,A04,3,I,Enteritis due to Yersinia enterocolitica,False,1.0,0.0,0.0,0.0,0.03566274207640233
53,A047,A04,3,I,Enterocolitis due to Clostridium difficile,False,0.991716537731718,0.0,0.0,0.0,0.03566274207640233
54,A048,A04,3,I,Other specified bacterial intestinal infections,False,0.9998905269303752,0.0,0.0,0.0,0.03566274207640233
55,A049,A04,3,I,"Bacterial intestinal infection, unspecified",False,0.9999635089767918,0.0,0.0,0.0,0.03566274207640233
56,A059,A05,3,I,"Bacterial foodborne intoxication, unspecified",False,0.9999635089767918,0.0,0.0,0.0,0.03566274207640233
57,A05,A00-A09,2,I,"Other bacterial foodborne intoxications, not elsewhere classified",False,0.9999635089767918,0.0,0.0,0.0,0.03566274207640233
58,A060,A06,3,I,Acute amoebic dysentery,False,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
59,A06,A00-A09,2,I,Amoebiasis,False,0.9999635089767918,0.0,0.0,0.0,0.03566274207640233
60,A064,A06,3,I,Amoebic liver abscess,False,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
61,A071,A07,3,I,Giardiasis [lambliasis],False,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
62,A07,A00-A09,2,I,Other protozoal intestinal diseases,False,0.9999635089767918,0.0,0.0,0.0,0.03566274207640233
63,A078,A07,3,I,Other specified protozoal intestinal diseases,False,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
64,A080,A08,3,I,Rotaviral enteritis,False,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
65,A08,A00-A09,2,I,Viral and other specified intestinal infections,False,0.9975915924682528,0.0,0.0,0.0,0.03566274207640233
66,A081,A08,3,I,Acute gastroenteropathy due to Norovirus,False,0.9998722814187709,0.0,0.0,0.0,0.03566274207640233
67,A083,A08,3,I,Other viral enteritis,False,0.9997992993723545,0.0,0.0,0.0,0.03566274207640233
68,A084,A08,3,I,"Viral intestinal infection, unspecified",False,0.9980294847467523,0.0,0.0,0.0,0.03566274207640233
69,A085,A08,3,I,Other specified intestinal infections,False,0.9998905269303752,0.0,0.0,0.0,0.03566274207640233
70,A09,A00-A09,2,I,Other gastroenteritis and colitis of infectious and unspecified origin,False,0.9862063932272661,0.09569377990430622,0.05025125628140704,1.0,0.03566274207640233
71,A090,A09,3,I,Other and unspecified gastroenteritis and colitis of infectious origin,False,1.0,1.0,1.0,1.0,0.03566274207640233
72,A099,A09,3,I,Gastroenteritis and colitis of unspecified origin,False,0.9861334111808495,0.0,0.0,0.0,0.03566274207640233
73,A1500,A150,4,I,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture, with cavitation",True,1.0,0.0,0.0,0.0,0.03566274207640233
74,A150,A15,3,I,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",False,1.0,0.0,0.0,0.0,0.03566274207640233
75,A15,A15-A19,2,I,"Respiratory tuberculosis, bacteriologically and histologically confirmed",False,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
76,A15-A19,I,1,I,Tuberculosis,False,0.9997992993723545,0.0,0.0,0.0,0.03566274207640233
77,A1501,A150,4,I,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture, without cavitation or unspecified",True,1.0,0.0,0.0,0.0,0.03566274207640233
78,A151,A15,3,I,"Tuberculosis of lung, confirmed by culture only",False,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
79,A1521,A152,4,I,"Tuberculosis of lung, confirmed histologically, without cavitation or unspecified",True,1.0,0.0,0.0,0.0,0.03566274207640233
80,A152,A15,3,I,"Tuberculosis of lung, confirmed histologically",False,1.0,0.0,0.0,0.0,0.03566274207640233
81,A154,A15,3,I,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",False,1.0,0.0,0.0,0.0,0.03566274207640233
82,A155,A15,3,I,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",False,1.0,0.0,0.0,0.0,0.03566274207640233
83,A157,A15,3,I,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",False,1.0,0.0,0.0,0.0,0.03566274207640233
84,A158,A15,3,I,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",False,1.0,0.0,0.0,0.0,0.03566274207640233
85,A1590,A159,4,I,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically with cavitation",True,1.0,0.0,0.0,0.0,0.03566274207640233
86,A159,A15,3,I,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",False,1.0,0.0,0.0,0.0,0.03566274207640233
87,A160,A16,3,I,"Tuberculosis of lung, bacteriologically and histologically negative",False,1.0,0.0,0.0,0.0,0.03566274207640233
88,A16,A15-A19,2,I,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",False,0.9998722814187709,0.0,0.0,0.0,0.03566274207640233
89,A1620,A162,4,I,"Tuberculosis of lung, without mention of bacteriological or histological confirmation, with cavitation",True,0.9999817544883959,0.0,0.0,0.0,0.03566274207640233
90,A162,A16,3,I,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",False,0.9999452634651875,0.0,0.0,0.0,0.03566274207640233
91,A1621,A162,4,I,"Tuberculosis of lung, without mention of bacteriological or histological confirmation, without cavitation or unspecified",True,0.9999635089767918,0.0,0.0,0.0,0.03566274207640233
