Unnamed: 0,code,parent,rank,chapter,description,is_canadian,accuracy,f1_score,recall,precision,binary_cross_entropy
0,80001,NEOPLASM,1,NEOPLASM,"Neoplasm, uncertain whether benign or malignant",True,0.9999817544883959,0.0,0.0,0.0,0.03832768014188782
1,NEOPLASM,,0,NEOPLASM,﻿Morphology of Neoplasms,True,0.9989235148153555,0.0,0.0,0.0,0.03832768014188782
2,80003,NEOPLASM,1,NEOPLASM,"Neoplasm, malignant",True,0.9999452634651875,0.0,0.0,0.0,0.03832768014188782
3,80006,NEOPLASM,1,NEOPLASM,"Neoplasm, metastatic",True,0.9999817544883959,0.0,0.0,0.0,0.03832768014188782
4,80103,NEOPLASM,1,NEOPLASM,Carcinoma NOS,True,0.9999817544883959,0.0,0.0,0.0,0.03832768014188782
5,80106,NEOPLASM,1,NEOPLASM,"Carcinoma, metastatic NOS",True,1.0,0.0,0.0,0.0,0.03832768014188782
6,80413,NEOPLASM,1,NEOPLASM,Small cell carcinoma NOS,True,0.9999270179535834,0.0,0.0,0.0,0.03832768014188782
7,80503,NEOPLASM,1,NEOPLASM,Papillary carcinoma NOS,True,0.9999635089767918,0.0,0.0,0.0,0.03832768014188782
8,80703,NEOPLASM,1,NEOPLASM,Squamous cell carcinoma NOS,True,0.9998722814187709,0.0,0.0,0.0,0.03832768014188782
9,80713,NEOPLASM,1,NEOPLASM,"Squamous cell carcinoma, keratinizing NOS",True,0.9999817544883959,0.0,0.0,0.0,0.03832768014188782
10,80723,NEOPLASM,1,NEOPLASM,"Squamous cell carcinoma, large cell, nonkeratinizing",True,0.9999817544883959,0.0,0.0,0.0,0.03832768014188782
11,80903,NEOPLASM,1,NEOPLASM,Basal cell carcinoma NOS,True,0.9999817544883959,0.0,0.0,0.0,0.03832768014188782
12,81203,NEOPLASM,1,NEOPLASM,Transitional cell carcinoma NOS,True,0.9999452634651875,0.0,0.0,0.0,0.03832768014188782
13,81403,NEOPLASM,1,NEOPLASM,Adenocarcinoma NOS,True,0.9998175448839586,0.0,0.0,0.0,0.03832768014188782
14,81406,NEOPLASM,1,NEOPLASM,"Adenocarcinoma, metastatic NOS",True,1.0,0.0,0.0,0.0,0.03832768014188782
15,81523,NEOPLASM,1,NEOPLASM,"Glucagonoma, malignant",True,1.0,0.0,0.0,0.0,0.03832768014188782
16,82110,NEOPLASM,1,NEOPLASM,Tubular adenoma NOS,True,1.0,0.0,0.0,0.0,0.03832768014188782
17,82403,NEOPLASM,1,NEOPLASM,Carcinoid tumour NOS,True,0.9999635089767918,0.0,0.0,0.0,0.03832768014188782
18,82463,NEOPLASM,1,NEOPLASM,Neuroendocrine carcinoma,True,0.9998540359071668,0.0,0.0,0.0,0.03832768014188782
19,82630,NEOPLASM,1,NEOPLASM,Tubulovillous adenoma NOS,True,1.0,0.0,0.0,0.0,0.03832768014188782
20,83123,NEOPLASM,1,NEOPLASM,Renal cell carcinoma,True,0.9999817544883959,0.0,0.0,0.0,0.03832768014188782
21,83803,NEOPLASM,1,NEOPLASM,Endometrioid carcinoma,True,0.9999635089767918,0.0,0.0,0.0,0.03832768014188782
22,84813,NEOPLASM,1,NEOPLASM,Mucin-producing adenocarcinoma,True,1.0,0.0,0.0,0.0,0.03832768014188782
23,84903,NEOPLASM,1,NEOPLASM,Signet ring cell carcinoma,True,1.0,0.0,0.0,0.0,0.03832768014188782
24,85003,NEOPLASM,1,NEOPLASM,Infiltrating duct carcinoma,True,0.9999817544883959,0.0,0.0,0.0,0.03832768014188782
25,85623,NEOPLASM,1,NEOPLASM,Epithelial-myoepithelial carcinoma,True,1.0,0.0,0.0,0.0,0.03832768014188782
26,87203,NEOPLASM,1,NEOPLASM,Malignant melanoma NOS,True,0.9999635089767918,0.0,0.0,0.0,0.03832768014188782
27,88003,NEOPLASM,1,NEOPLASM,Sarcoma NOS,True,1.0,0.0,0.0,0.0,0.03832768014188782
28,88900,NEOPLASM,1,NEOPLASM,Leiomyoma NOS,True,0.9999817544883959,0.0,0.0,0.0,0.03832768014188782
29,91730,NEOPLASM,1,NEOPLASM,Cystic lymphangioma,True,1.0,0.0,0.0,0.0,0.03832768014188782
